,diagnosis_type,diagnosis_code
0,Cholera,01
1, Due to Vibrio cholerae,01.0
2, Due to Vibrio cholerae el tor,01.1
3, Unspecified,01.9
4,Typhoid and paratyphoid fevers,02
5,Typhoid fever,02.0
6, Paratyphoid fever A,02.1
7, Paratyphoid fever B,02.2
8, Paratyphoid fever C,02.3
9," Paratyphoid fever, unspecified",02.9
10,Other salmonella infections,03
11, Salmonella gastroenteritis,03.0
12, Salmonella septicemia,03.1
13, Localized salmonella infections,03.2
14, Other,03.8
15, Unspecified,03.9
16,Shigellosis,04
17, Shigella dysenteriae,04.0
18, Shigella flexneri,04.1
19, Shigella boydii,04.2
20, Shigella sonnei,04.3
21, Other,04.8
22, Unspecified,04.9
23,Other food poisoning -bacterial,05
24, Staphylococcal food poisoning,05.0
25, Botulism,05.1
26, Food poisoning due to Clostridium perfringens -Cl. welchii,05.2
27, Food poisoning due to other Clostridia,05.3
28, Food poisoning due to Vibrio parahemolyticus,05.4
29, Other bacterial food poisoning,05.8
30," Food poisoning, unspecified",05.9
31,Amebiasis,06
32, Acute amebic dysentery without mention of abscess,06.0
33, Chronic intestinal amebiasis without mention of abscess,06.1
34, Amebic nondysenteric colitis,06.2
35, Amebic liver abscess,06.3
36, Amebic lung abscess,06.4
37, Amebic brain abscess,06.5
38, Amebic skin ulceration,06.6
39, Amebic infection of other sites,06.8
40," Amebiasis, unspecified",06.9
41,Other protozoal intestinal diseases,07
42, Balantidiasis,07.0
43, Giardiasis,07.1
44, Coccidiosis,07.2
45, Intestinal trichomoniasis,07.3
46, Other protozoal intestinal diseases,07.8
47, Unspecified,07.9
48,Intestinal infections due to other organisms,08
49, Escherichia coli,08.0
50, Arizona,08.1
51, Aerobacter aerogenes,08.2
52, Proteus -mirabilis -morganii,08.3
53, Other specified bacteria,08.4
54," Bacterial enteritis, unspecified",08.5
55, Enteritis due to specified virus,08.6
56," Other organism, not elsewhere classified",08.8
57,Ill-defined intestinal infections,09
58," Infectious colitis, enteritis, and gastroenteritis",09.0
59, Infectious diarrhea,09.2
60,Primary tuberculous infection,10
61, Primary tuberculous complex,10.0
62, Tuberculous pleurisy in primary progressive tuberculosis,10.1
63, Other primary progressive tuberculosis,10.8
64, Unspecified,10.9
65,Pulmonary tuberculosis,11
66," Tuberculosis of lung, infiltrative",11.0
67," Tuberculosis of lung, nodular",11.1
68, Tuberculosis of lung with cavitation,11.2
69, Tuberculosis of bronchus,11.3
70, Tuberculous fibrosis of lung,11.4
71, Tuberculous bronchiectasis,11.5
72," Tuberculous pneumonia, any form",11.6
73, Tuberculous pneumothorax,11.7
74, Other pulmonary tuberculosis,11.8
75, Unspecified,11.9
76,Other respiratory tuberculosis,12
77, Tuberculous pleurisy,12.0
78, Tuberculosis of intrathoracic lymph nodes,12.1
79, Isolated tracheal or bronchial tuberculosis,12.2
80, Tuberculous laryngitis,12.3
81, Other,12.8
82,Tuberculosis of meninges and central nervous system,13
83, Tuberculous meningitis,13.0
84, Tuberculoma of meninges,13.1
85, Other,13.8
86, Unspecified,13.9
87,"Tuberculosis of intestines, peritoneum, and mesenteric glands",14
88,Tuberculosis of bones and joints,15
89, Vertebral column,15.0
90, Hip,15.1
91, Knee,15.2
92, Other bone,15.7
93, Other joint,15.8
94, Unspecified,15.9
95,Tuberculosis of genitourinary system,16
96, Kidney,16.0
97, Other urinary organs,16.1
98, Epididymis,16.2
99, Other male genital organs,16.3
100, Female genital organs,16.4
101, Unspecified,16.9
102,Tuberculosis of other organs,17
103, Skin and subcutaneous cellular tissue,17.0
104, Erythema nodosum with hypersensitivity reaction in tuberculosis,17.1
105, Peripheral lymph nodes,17.2
106, Eye,17.3
107, Ear,17.4
108, Thyroid gland,17.5
109, Adrenal glands,17.6
110, Spleen,17.7
111, Other,17.8
112,Miliary tuberculosis,18
113, Acute,18.0
114, Other,18.8
115, Unspecified,18.9
116,Plague,20
117, Bubonic,20.0
118, Cellulocutaneous,20.1
119, Septicemic,20.2
120, Primary pneumonic,20.3
121, Secondary pneumonic,20.4
122," Pneumonic, unspecified",20.5
123, Other,20.8
124, Unspecified,20.9
125,Tularemia,21
126,Anthrax,22
127, Cutaneous anthrax,22.0
128, Pulmonary anthrax,22.1
129, Gastrointestinal anthrax,22.2
130, Anthrax septicemia,22.3
131, Other manifestations,22.8
132, Unspecified,22.9
133,Brucellosis,23
134, Brucella melitensis,23.0
135, Brucella abortus,23.1
136, Brucella suis,23.2
137, Brucella canis,23.3
138, Other,23.8
139, Unspecified,23.9
140,Glanders,24
141,Melioidosis,25
142,Rat-bite fever,26
143, Spirillary fever,26.0
144, Streptobacillary fever,26.1
145, Unspecified,26.9
146,Other zoonotic bacterial diseases,27
147, Listeriosis,27.0
148, Erysipelothrix infection,27.1
149, Pasteurellosis,27.2
150, Other,27.8
151, Unspecified,27.9
152,Leprosy,30
153, Lepromatous -type L,30.0
154, Tuberculoid -type T,30.1
155, Indeterminate -group I,30.2
156, Borderline -group B,30.3
157, Other,30.8
158, Unspecified,30.9
159,Diseases due to other mycobacteria,31
160,Pulmonary,31.0
161,Cutaneous,31.1
162, Other,31.8
163, Unspecified,31.9
164,Diphtheria,32
165, Faucial diphtheria,32.0
166, Nasopharyngeal diphtheria,32.1
167, Anterior nasal diphtheria,32.2
168, Laryngeal diphtheria,32.3
169, Other,32.8
170," Diphtheria, unspecified",32.9
171,Whooping cough,33
172, Bordetella pertussis -B. pertussis,33.0
173, Bordetella parapertussis -B. parapertussis,33.1
174, Other specified organism,33.8
175," Whooping cough, unspecified organism",33.9
176,Streptococcal sore throat and scarlatina,34
177, Streptococcal sore throat,34.0
178, Scarlatina,34.1
179,Erysipelas,35
180,Meningococcal infection,36
181, Meningococcal meningitis,36.0
182, Meningococcal encephalitis,36.1
183, Meningococcemia,36.2
184," Waterhouse-Friderichsen syndrome, meningococcal",36.3
185, Meningococcal carditis,36.4
186, Other,36.8
187, Unspecified,36.9
188,Tetanus,37
189,Septicemia,38
190, Streptococcal septicemia,38.0
191, Staphylococcal septicemia,38.1
192, Pneumococcal septicemia,38.2
193, Septicemia due to anaerobes,38.3
194, Septicemia due to other gram-negative organisms,38.4
195, Other specified septicemias,38.8
196, Unspecified septicemia,38.9
197,Actinomycotic infections,39
198, Cutaneous,39.0
199, Pulmonary,39.1
200, Abdominal,39.2
201, Cervicofacial,39.3
202, Madura foot,39.4
203, Of other specified sites,39.8
204, Of unspecified site,39.9
205,Other bacterial diseases,40
