,diagnosis_code,diagnosis_type
1,001,Cholera 
2,001.0, Due to Vibrio cholerae 
3,001.1, Due to Vibrio cholerae el tor 
4,001.9, Unspecified 
5,002,Typhoid and paratyphoid fevers 
6,002.0,Typhoid fever 
7,002.1, Paratyphoid fever A 
8,002.2, Paratyphoid fever B 
9,002.3, Paratyphoid fever C 
10,002.9," Paratyphoid fever, unspecified "
11,003,Other salmonella infections 
12,003.0, Salmonella gastroenteritis 
13,003.1, Salmonella septicemia 
14,003.2, Localized salmonella infections 
15,003.8, Other 
16,003.9, Unspecified 
17,004,Shigellosis 
18,004.0, Shigella dysenteriae 
19,004.1, Shigella flexneri 
20,004.2, Shigella boydii 
21,004.3, Shigella sonnei 
22,004.8, Other 
23,004.9, Unspecified 
24,005,Other food poisoning -bacterial 
25,005.0, Staphylococcal food poisoning 
26,005.1, Botulism 
27,005.2, Food poisoning due to Clostridium perfringens -Cl. welchii 
28,005.3, Food poisoning due to other Clostridia 
29,005.4, Food poisoning due to Vibrio parahemolyticus 
30,005.8, Other bacterial food poisoning 
31,005.9," Food poisoning, unspecified "
32,006,Amebiasis 
33,006.0, Acute amebic dysentery without mention of abscess 
34,006.1, Chronic intestinal amebiasis without mention of abscess 
35,006.2, Amebic nondysenteric colitis 
36,006.3, Amebic liver abscess 
37,006.4, Amebic lung abscess 
38,006.5, Amebic brain abscess 
39,006.6, Amebic skin ulceration 
40,006.8, Amebic infection of other sites 
41,006.9," Amebiasis, unspecified "
42,007,Other protozoal intestinal diseases 
43,007.0, Balantidiasis 
44,007.1, Giardiasis 
45,007.2, Coccidiosis 
46,007.3, Intestinal trichomoniasis 
47,007.8, Other protozoal intestinal diseases 
48,007.9, Unspecified 
49,008,Intestinal infections due to other organisms 
50,008.0, Escherichia coli 
51,008.1, Arizona 
52,008.2, Aerobacter aerogenes 
53,008.3, Proteus -mirabilis -morganii 
54,008.4, Other specified bacteria 
55,008.5," Bacterial enteritis, unspecified "
56,008.6, Enteritis due to specified virus 
57,008.8," Other organism, not elsewhere classified "
58,009,Ill-defined intestinal infections 
59,009.0," Infectious colitis, enteritis, and gastroenteritis "
60,009.2, Infectious diarrhea 
62,010,Primary tuberculous infection 
63,010.0, Primary tuberculous complex 
64,010.1, Tuberculous pleurisy in primary progressive tuberculosis 
65,010.8, Other primary progressive tuberculosis 
66,010.9, Unspecified 
67,011,Pulmonary tuberculosis 
68,011.0," Tuberculosis of lung, infiltrative "
69,011.1," Tuberculosis of lung, nodular "
70,011.2, Tuberculosis of lung with cavitation 
71,011.3, Tuberculosis of bronchus 
72,011.4, Tuberculous fibrosis of lung 
73,011.5, Tuberculous bronchiectasis 
74,011.6," Tuberculous pneumonia, any form "
75,011.7, Tuberculous pneumothorax 
76,011.8, Other pulmonary tuberculosis 
77,011.9, Unspecified 
78,012,Other respiratory tuberculosis 
79,012.0, Tuberculous pleurisy 
80,012.1, Tuberculosis of intrathoracic lymph nodes 
81,012.2, Isolated tracheal or bronchial tuberculosis 
82,012.3, Tuberculous laryngitis 
83,012.8, Other 
84,013,Tuberculosis of meninges and central nervous system 
85,013.0, Tuberculous meningitis 
86,013.1, Tuberculoma of meninges 
87,013.8, Other 
88,013.9, Unspecified 
89,014,"Tuberculosis of intestines, peritoneum, and mesenteric glands "
90,015,Tuberculosis of bones and joints 
91,015.0, Vertebral column 
92,015.1, Hip 
93,015.2, Knee 
94,015.7, Other bone 
95,015.8, Other joint 
96,015.9, Unspecified 
97,016,Tuberculosis of genitourinary system 
98,016.0, Kidney 
99,016.1, Other urinary organs 
100,016.2, Epididymis 
101,016.3, Other male genital organs 
102,016.4, Female genital organs 
103,016.9, Unspecified 
104,017,Tuberculosis of other organs 
105,017.0, Skin and subcutaneous cellular tissue 
106,017.1, Erythema nodosum with hypersensitivity reaction in tuberculosis 
107,017.2, Peripheral lymph nodes 
108,017.3, Eye 
109,017.4, Ear 
110,017.5, Thyroid gland 
111,017.6, Adrenal glands 
112,017.7, Spleen 
113,017.8, Other 
114,018,Miliary tuberculosis 
115,018.0, Acute 
116,018.8, Other 
117,018.9, Unspecified 
119,020,Plague 
120,020.0, Bubonic 
121,020.1, Cellulocutaneous 
122,020.2, Septicemic 
123,020.3, Primary pneumonic 
124,020.4, Secondary pneumonic 
125,020.5," Pneumonic, unspecified "
126,020.8, Other 
127,020.9, Unspecified 
128,021,Tularemia 
129,022,Anthrax 
130,022.0, Cutaneous anthrax 
131,022.1, Pulmonary anthrax 
132,022.2, Gastrointestinal anthrax 
133,022.3, Anthrax septicemia 
134,022.8, Other manifestations 
135,022.9, Unspecified 
136,023,Brucellosis 
137,023.0, Brucella melitensis 
138,023.1, Brucella abortus 
139,023.2, Brucella suis 
140,023.3, Brucella canis 
141,023.8, Other 
142,023.9, Unspecified 
143,024,Glanders 
144,025,Melioidosis 
145,026,Rat-bite fever 
146,026.0, Spirillary fever 
147,026.1, Streptobacillary fever 
148,026.9, Unspecified 
149,027,Other zoonotic bacterial diseases 
150,027.0, Listeriosis 
151,027.1, Erysipelothrix infection 
152,027.2, Pasteurellosis 
153,027.8, Other 
154,027.9, Unspecified 
156,030,Leprosy 
157,030.0, Lepromatous -type L 
158,030.1, Tuberculoid -type T 
159,030.2, Indeterminate -group I 
160,030.3, Borderline -group B 
161,030.8, Other 
162,030.9, Unspecified 
163,031,Diseases due to other mycobacteria 
164,031.0,Pulmonary 
165,031.1,Cutaneous 
166,031.8, Other 
167,031.9, Unspecified 
168,032,Diphtheria 
169,032.0, Faucial diphtheria 
170,032.1, Nasopharyngeal diphtheria 
171,032.2, Anterior nasal diphtheria 
172,032.3, Laryngeal diphtheria 
173,032.8, Other 
174,032.9," Diphtheria, unspecified "
175,033,Whooping cough 
176,033.0, Bordetella pertussis -B. pertussis 
177,033.1, Bordetella parapertussis -B. parapertussis 
178,033.8, Other specified organism 
179,033.9," Whooping cough, unspecified organism "
180,034,Streptococcal sore throat and scarlatina 
181,034.0, Streptococcal sore throat 
182,034.1, Scarlatina 
183,035,Erysipelas 
184,036,Meningococcal infection 
185,036.0, Meningococcal meningitis 
186,036.1, Meningococcal encephalitis 
187,036.2, Meningococcemia 
188,036.3," Waterhouse-Friderichsen syndrome, meningococcal "
189,036.4, Meningococcal carditis 
190,036.8, Other 
191,036.9, Unspecified 
192,037,Tetanus 
193,038,Septicemia 
194,038.0, Streptococcal septicemia 
195,038.1, Staphylococcal septicemia 
196,038.2, Pneumococcal septicemia 
197,038.3, Septicemia due to anaerobes 
198,038.4, Septicemia due to other gram-negative organisms 
199,038.8, Other specified septicemias 
200,038.9, Unspecified septicemia 
201,039,Actinomycotic infections 
202,039.0, Cutaneous 
203,039.1, Pulmonary 
204,039.2, Abdominal 
205,039.3, Cervicofacial 
206,039.4, Madura foot 
207,039.8, Of other specified sites 
208,039.9, Of unspecified site 
209,040,Other bacterial diseases 
210,040.0, Gas gangrene 
211,040.1, Rhinoscleroma 
212,040.2, Whipple's disease 
213,040.3, Necrobacillosis 
214,040.8, Other bacterial diseases 
215,041,Bacterial infection of unspecified site 
216,041.0, Streptococcus 
217,041.1, Staphylococcus 
218,041.2, Pneumococcus 
219,041.3, Friedlander's bacillus 
220,041.4, Escherichia coli 
221,041.5, Hemophilus influenzae -H. influenzae 
222,041.6, Proteus -mirabilis -morganii 
223,041.7, Pseudomonas 
224,041.8, Other 
225,041.9," Bacterial infection, unspecified "
226,042, Human immunodeficiency virus infection
227,042,Human immunodeficiency virus infection with specified conditions
228,042.0, With specified infections
229,042.1, Causing other specified infections
230,042.2, With specified malignant neoplasms
231,042.9," Acquired immunodeficiency syndrome, unspecified"
232,043,Human immunodeficiency virus infection causing other specified conditions
233,043.0, Causing lymphadenopathy
234,043.1, Causing specified diseases of the central nervous system
235,043.2, Causing other disorders involving the immune mechanism
236,043.3, Causing other specified conditions
237,043.9," Acquired immunodeficiency syndrome-related complex, unspecified"
238,044,Other human immunodeficiency virus infection
239,044.0, Causing specified acute infections
240,044.9," Human immunodeficiency virus infection, unspecified"
241,94, Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system 
242,045,Acute poliomyelitis 
243,045.0, Acute paralytic poliomyelitis specified as bulbar 
244,045.1, Acute poliomyelitis with other paralysis 
